"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"ANDHRA PRADESH","MURDER",2602,2525,2667,2579,2750,2766,2665,2690,2449,2538,2808,2717
"ARUNACHAL PRADESH","MURDER",83,61,77,67,81,60,68,72,59,75,65,73
"ASSAM","MURDER",1356,1253,1191,1214,1194,1207,1374,1426,1323,1223,1303,1368
"BIHAR","MURDER",3643,3712,3771,3948,3471,3249,3034,3139,3152,3362,3198,3566
"CHHATTISGARH","MURDER",880,844,776,927,1013,1098,1097,1169,1083,1065,1110,998
"GOA","MURDER",36,30,34,40,45,39,33,49,53,35,48,45
"GUJARAT","MURDER",1226,1532,1114,1113,1033,1165,1166,1106,1020,1048,1126,1126
"HARYANA","MURDER",781,760,702,733,784,873,911,921,948,1005,1062,991
"HIMACHAL PRADESH","MURDER",119,123,125,110,110,111,127,129,125,132,130,113
"JAMMU & KASHMIR","MURDER",1075,1048,929,816,647,487,318,237,237,217,169,124
"JHARKHAND","MURDER",1507,1488,1482,1488,1523,1492,1617,1697,1636,1689,1747,1694
"KARNATAKA","MURDER",1626,1627,1506,1519,1609,1627,1538,1698,1702,1805,1820,1860
"KERALA","MURDER",472,454,435,417,388,393,367,362,343,363,365,374
"MADHYA PRADESH","MURDER",2425,2395,2227,2379,2405,2309,2244,2322,2386,2423,2511,2373
"MAHARASHTRA","MURDER",2839,2768,2772,2696,2621,2656,2693,2795,2653,2744,2818,2712
"MANIPUR","MURDER",209,165,150,159,256,205,240,187,131,92,78,83
"MEGHALAYA","MURDER",164,167,175,124,134,157,114,126,128,134,170,137
"MIZORAM","MURDER",31,29,46,35,24,25,43,35,31,48,26,30
"NAGALAND","MURDER",101,100,91,70,87,123,111,143,46,45,46,75
"ODISHA","MURDER",987,1075,1044,1066,1079,1159,1210,1250,1250,1308,1477,1548
"PUNJAB","MURDER",738,733,731,775,713,817,760,769,853,907,842,855
"RAJASTHAN","MURDER",1259,1276,1262,1279,1221,1209,1303,1297,1395,1421,1461,1461
"SIKKIM","MURDER",19,13,14,16,8,21,9,9,19,17,14,7
"TAMIL NADU","MURDER",1662,1723,1591,1479,1440,1363,1633,1759,1776,1875,1877,1949
"TRIPURA","MURDER",240,201,254,189,121,154,138,155,133,150,163,124
"UTTAR PRADESH","MURDER",7601,6825,5284,6126,5711,5480,5000,4564,4534,4401,4951,4966
"UTTARAKHAND","MURDER",316,292,268,262,279,274,268,223,195,176,178,217
"WEST BENGAL","MURDER",1594,1444,1425,1425,1453,1425,1652,1811,2068,2398,2109,2252
"TOTAL (STATES)","MURDER",35591,34663,32143,33051,32200,31944,31733,32140,31728,32696,33672,33838
"A & N ISLANDS","MURDER",13,17,21,15,14,4,15,8,15,9,14,15
"CHANDIGARH","MURDER",15,31,21,22,18,12,19,17,22,21,24,21
"D & N HAVELI","MURDER",3,11,11,11,7,9,10,9,10,6,14,7
"DAMAN & DIU","MURDER",7,8,6,3,5,6,12,2,5,5,6,3
"DELHI","MURDER",547,531,485,481,455,476,495,554,552,565,543,521
"LAKSHADWEEP","MURDER",1,0,0,0,1,0,0,1,0,0,0,0
"PUDUCHERRY","MURDER",25,29,29,25,19,30,34,35,37,33,32,29
"TOTAL (UTs)","MURDER",611,627,573,557,519,537,585,626,641,639,633,596
"TOTAL (ALL-INDIA)","MURDER",36202,35290,32716,33608,32719,32481,32318,32766,32369,33335,34305,34434
"ANDHRA PRADESH","ATTEMPT TO COMMIT MURDER",1555,1644,1678,1908,1724,1860,1885,1942,1859,1953,2229,2183
"ARUNACHAL PRADESH","ATTEMPT TO COMMIT MURDER",53,38,20,45,37,33,29,37,33,34,29,29
"ASSAM","ATTEMPT TO COMMIT MURDER",481,479,485,410,503,414,451,417,417,431,504,670
"BIHAR","ATTEMPT TO COMMIT MURDER",3419,3526,3540,2995,3307,3303,3113,2954,3068,2915,3327,5452
"CHHATTISGARH","ATTEMPT TO COMMIT MURDER",529,453,513,619,660,825,747,736,732,756,747,593
"GOA","ATTEMPT TO COMMIT MURDER",30,20,25,6,15,17,23,25,24,27,22,35
"GUJARAT","ATTEMPT TO COMMIT MURDER",537,759,478,469,452,471,494,487,468,462,478,557
"HARYANA","ATTEMPT TO COMMIT MURDER",467,487,446,441,513,585,592,616,690,836,851,910
"HIMACHAL PRADESH","ATTEMPT TO COMMIT MURDER",75,86,74,77,79,78,57,59,73,74,50,53
"JAMMU & KASHMIR","ATTEMPT TO COMMIT MURDER",1474,1240,1216,1112,905,854,669,570,547,711,494,511
"JHARKHAND","ATTEMPT TO COMMIT MURDER",866,1143,957,1143,1084,1078,1076,1061,1274,1028,718,842
"KARNATAKA","ATTEMPT TO COMMIT MURDER",1475,1576,1241,1387,1406,1484,1251,1475,1607,1850,1837,1923
"KERALA","ATTEMPT TO COMMIT MURDER",615,562,448,391,341,347,402,434,408,361,521,497
"MADHYA PRADESH","ATTEMPT TO COMMIT MURDER",2870,2864,2413,2563,2512,2370,2423,2282,2212,2277,2340,2332
"MAHARASHTRA","ATTEMPT TO COMMIT MURDER",1454,1435,1412,1463,1614,1680,1615,1837,1880,1926,2105,2168
"MANIPUR","ATTEMPT TO COMMIT MURDER",168,160,199,227,252,265,377,498,478,258,245,409
"MEGHALAYA","ATTEMPT TO COMMIT MURDER",47,58,60,42,35,42,49,55,39,60,51,63
"MIZORAM","ATTEMPT TO COMMIT MURDER",15,26,36,21,24,19,21,10,14,27,24,21
"NAGALAND","ATTEMPT TO COMMIT MURDER",39,34,34,33,26,46,50,47,35,35,43,42
"ODISHA","ATTEMPT TO COMMIT MURDER",1151,1372,1214,1197,1279,752,1105,1415,1231,1436,1621,1879
"PUNJAB","ATTEMPT TO COMMIT MURDER",789,728,644,716,723,898,893,956,1014,994,997,1045
"RAJASTHAN","ATTEMPT TO COMMIT MURDER",1923,2043,1977,2030,1920,1694,1772,1649,1673,1557,1566,1538
"SIKKIM","ATTEMPT TO COMMIT MURDER",11,5,7,8,16,16,14,7,7,6,7,7
"TAMIL NADU","ATTEMPT TO COMMIT MURDER",2204,2133,1843,1772,1759,1599,2078,2327,2325,2641,2962,2954
"TRIPURA","ATTEMPT TO COMMIT MURDER",25,38,87,36,56,52,58,53,59,63,75,79
"UTTAR PRADESH","ATTEMPT TO COMMIT MURDER",7964,6283,3793,5580,5637,4997,4424,4233,4141,4004,4653,4811
"UTTARAKHAND","ATTEMPT TO COMMIT MURDER",279,249,236,247,202,215,228,217,185,219,189,161
"WEST BENGAL","ATTEMPT TO COMMIT MURDER",449,413,400,390,434,672,877,1732,2119,2111,2242,2854
"TOTAL (STATES)","ATTEMPT TO COMMIT MURDER",30964,29854,25476,27328,27515,26666,26773,28131,28612,29052,30927,34618
"A & N ISLANDS","ATTEMPT TO COMMIT MURDER",0,3,4,1,3,4,19,11,4,7,6,3
"CHANDIGARH","ATTEMPT TO COMMIT MURDER",10,35,15,19,15,21,26,28,18,30,40,44
"D & N HAVELI","ATTEMPT TO COMMIT MURDER",2,2,5,4,5,0,2,2,5,0,2,2
"DAMAN & DIU","ATTEMPT TO COMMIT MURDER",5,3,3,1,2,3,7,2,4,2,1,5
"DELHI","ATTEMPT TO COMMIT MURDER",510,440,407,519,467,510,530,389,369,311,386,439
"LAKSHADWEEP","ATTEMPT TO COMMIT MURDER",0,0,0,0,0,2,2,0,1,0,1,0
"PUDUCHERRY","ATTEMPT TO COMMIT MURDER",32,43,32,18,24,24,42,35,25,19,22,27
"TOTAL (UTs)","ATTEMPT TO COMMIT MURDER",559,526,466,562,516,564,628,467,426,369,458,520
"TOTAL (ALL-INDIA)","ATTEMPT TO COMMIT MURDER",31523,30380,25942,27890,28031,27230,27401,28598,29038,29421,31385,35138
"ANDHRA PRADESH","C.H. NOT AMOUNTING TO MURDER",136,165,147,163,111,123,135,165,134,155,171,158
"ARUNACHAL PRADESH","C.H. NOT AMOUNTING TO MURDER",3,6,3,1,5,3,2,2,5,3,2,1
"ASSAM","C.H. NOT AMOUNTING TO MURDER",40,55,48,63,117,32,109,71,35,46,48,54
"BIHAR","C.H. NOT AMOUNTING TO MURDER",250,396,298,280,259,326,257,386,243,344,348,285
"CHHATTISGARH","C.H. NOT AMOUNTING TO MURDER",45,24,51,25,41,15,26,18,19,30,28,26
"GOA","C.H. NOT AMOUNTING TO MURDER",5,4,6,5,5,1,7,11,11,3,6,3
"GUJARAT","C.H. NOT AMOUNTING TO MURDER",94,13,29,27,27,24,21,35,30,44,43,43
"HARYANA","C.H. NOT AMOUNTING TO MURDER",78,89,76,65,57,59,72,92,78,63,60,68
"HIMACHAL PRADESH","C.H. NOT AMOUNTING TO MURDER",11,6,5,12,22,20,9,5,13,12,6,9
"JAMMU & KASHMIR","C.H. NOT AMOUNTING TO MURDER",33,31,29,29,37,40,23,31,23,26,29,16
"JHARKHAND","C.H. NOT AMOUNTING TO MURDER",143,115,109,115,87,97,92,112,104,82,83,92
"KARNATAKA","C.H. NOT AMOUNTING TO MURDER",74,55,58,57,80,68,55,81,79,94,85,71
"KERALA","C.H. NOT AMOUNTING TO MURDER",111,210,343,473,88,87,92,95,100,86,105,107
"MADHYA PRADESH","C.H. NOT AMOUNTING TO MURDER",125,194,203,188,134,138,155,204,117,123,139,114
"MAHARASHTRA","C.H. NOT AMOUNTING TO MURDER",101,93,113,115,98,100,113,111,98,152,144,171
"MANIPUR","C.H. NOT AMOUNTING TO MURDER",5,3,6,3,4,4,2,4,2,1,4,4
"MEGHALAYA","C.H. NOT AMOUNTING TO MURDER",2,3,17,7,2,8,8,6,12,8,3,8
"MIZORAM","C.H. NOT AMOUNTING TO MURDER",5,5,3,2,5,7,4,6,8,7,8,7
"NAGALAND","C.H. NOT AMOUNTING TO MURDER",9,5,8,5,8,8,8,13,7,13,11,6
"ODISHA","C.H. NOT AMOUNTING TO MURDER",53,58,188,25,48,36,22,84,48,31,51,54
"PUNJAB","C.H. NOT AMOUNTING TO MURDER",80,79,89,148,216,165,170,146,129,120,112,104
"RAJASTHAN","C.H. NOT AMOUNTING TO MURDER",63,68,61,59,59,79,64,54,80,104,100,98
"SIKKIM","C.H. NOT AMOUNTING TO MURDER",7,2,3,3,2,2,3,3,3,2,8,0
"TAMIL NADU","C.H. NOT AMOUNTING TO MURDER",19,36,28,26,28,20,28,28,26,32,28,44
"TRIPURA","C.H. NOT AMOUNTING TO MURDER",0,1,0,0,1,1,2,2,2,8,0,2
"UTTAR PRADESH","C.H. NOT AMOUNTING TO MURDER",1186,1243,1525,1436,1520,1543,1616,1493,1439,1401,1454,1410
"UTTARAKHAND","C.H. NOT AMOUNTING TO MURDER",38,47,31,29,30,40,50,40,51,60,54,44
"WEST BENGAL","C.H. NOT AMOUNTING TO MURDER",581,540,484,468,408,401,394,488,931,630,486,522
"TOTAL (STATES)","C.H. NOT AMOUNTING TO MURDER",3297,3546,3961,3829,3499,3447,3539,3786,3827,3680,3616,3521
"A & N ISLANDS","C.H. NOT AMOUNTING TO MURDER",0,1,1,2,3,1,1,2,4,4,2,0
"CHANDIGARH","C.H. NOT AMOUNTING TO MURDER",6,7,2,10,4,8,8,6,8,9,6,5
"D & N HAVELI","C.H. NOT AMOUNTING TO MURDER",0,0,0,0,0,1,0,0,1,1,0,0
