State-wise Sex Ratio (Female per 1000 Males) in India,,,,,,,,,,,,
{As per 1901 to 2011 Census},,,,,,,,,,,,
States/UTs,Census year,,,,,,,,,,,
,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001,2011
Andhra Pradesh,985,992,993,987,980,986,981,977,975,972,978,993
Andama & Nicobar Islands,318,352,303,495,575,625,617,644,760,818,846,876
Arunachal Pradesh,-,-,-,-,-,-,894,861,862,859,893,938
Assam,919,915,896,874,875,868,869,896,910,923,935,958
Bihar,1061,1051,1020,995,1002,1000,1005,957,948,907,919,918
Chandigarh,771,720,743,751,763,781,652,749,769,790,777,818
Chhattisgarh,1046,1039,1041,1043,1032,1024,1008,998,996,985,989,991
Dadra & Nagar Haveli,960,967,940,911,925,946,963,1007,974,952,812,774
Daman & Diu,995,1040,1143,1088,1080,1125,1169,1099,1062,969,710,618
Delhi,862,793,733,722,715,768,785,801,808,827,821,868
Goa,1091,1108,1120,1088,1084,1128,1066,981,975,967,961,973
Gujarat,954,946,944,945,941,952,940,934,942,934,920,919
Haryana,867,835,844,844,869,871,868,867,870,865,861,879
Himachal Pradesh,884,889,890,897,890,912,938,958,973,976,968,972
Jammu & Kashmir,882,876,870,865,869,873,878,878,892,896,892,889
Jharkhand,1032,1021,1002,989,978,961,960,945,940,922,941,948
Karnataka,983,981,969,965,960,966,959,957,963,960,965,973
Kerala,1004,1008,1011,1022,1027,1028,1022,1016,1032,1036,1058,1084
Lakshadweep,1063,987,1027,994,1018,1043,1020,978,975,943,948,946
Madhya Pradesh,972,967,949,947,946,945,932,920,921,912,919,931
Maharashtra,978,966,950,947,949,941,936,930,937,934,922,929
Manipur,1037,1029,1041,1065,1055,1036,1015,980,971,958,974,992
Meghalaya,1036,1013,1000,971,966,949,937,942,954,955,972,989
Mizoram,1113,1120,1109,1102,1069,1041,1009,946,919,921,935,976
Nagaland,973,993,992,997,1021,999,933,871,863,886,900,931
Odisha,1037,1056,1086,1067,1053,1022,1001,988,981,971,972,979
Puducherry,-,1058,1053,-,-,1030,1013,989,985,979,1001,1037
Punjab,832,780,799,815,836,844,854,865,879,882,876,895
Rajasthan,905,908,896,907,906,921,908,911,919,910,921,928
Sikkim,916,951,970,967,920,907,904,863,835,878,875,890
Tamil Nadu,1044,1042,1029,1027,1012,1007,992,978,977,974,987,996
Tripura,874,885,885,885,886,904,932,943,946,945,948,960
Uttar Pradesh,938,916,908,903,907,908,947,940,936,936,962,963
Uttarakhand,918,907,916,913,907,940,907,876,882,876,898,912
West Bengal,945,925,905,890,852,865,878,891,911,917,934,950
India,972,964,955,950,945,946,941,930,934,927,933,943
,,,,,,,,,,,,
"Note : 1. For working out the sex ratio of India and Assam for 1981,",,,,,,,,,,,,
interpolated figures for Assam have been used.,,,,,,,,,,,,
2. For working out the sex ratio of India and Jammu and Kashmir,,,,,,,,,,,,
"for 1991, interpolated figures for Jammu and Kashmir have",,,,,,,,,,,,
been used.,,,,,,,,,,,,
"3. For working out the sex ratio of India, Gujarat and Himachal",,,,,,,,,,,,
"Pradesh for 2001, estimated figures for affected areas of Gujarat",,,,,,,,,,,,
and Himachal Pradesh have been used.,,,,,,,,,,,,
4. The sex ratio for Arunachal Pradesh is not available for the years,,,,,,,,,,,,
"1901-1951 and for Puducherry it is not available for the years 1901,",,,,,,,,,,,,
1931 and 1941.,,,,,,,,,,,,
"Source : Office of the Registrar General and Census Commissioner, India. (ON402)",,,,,,,,,,,,
