STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
ANDHRA PRADESH,2001,MURDER,1,0,1,688,21,709,1221,29,1250,249,10,259,2159,60,2219
ANDHRA PRADESH,2001,ATTEMPT TO COMMIT MURDER,0,0,0,38,0,38,71,0,71,12,0,12,121,0,121
ANDHRA PRADESH,2001,C.H. NOT AMOUNTING TO MURDER,0,0,0,78,1,79,121,3,124,23,0,23,222,4,226
ANDHRA PRADESH,2001,RAPE,0,0,0,97,0,97,64,0,64,5,0,5,166,0,166
ANDHRA PRADESH,2001,KIDNAPPING AND ABDUCTION,0,0,0,9,0,9,5,2,7,0,1,1,14,3,17
ANDHRA PRADESH,2001,DACOITY,1,0,1,85,0,85,90,0,90,14,0,14,190,0,190
ANDHRA PRADESH,2001,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,11,0,11,5,0,5,0,0,0,16,0,16
ANDHRA PRADESH,2001,ROBBERY,0,0,0,40,0,40,22,0,22,3,0,3,65,0,65
ANDHRA PRADESH,2001,BURGLARY,1,0,1,25,0,25,9,0,9,3,0,3,38,0,38
ANDHRA PRADESH,2001,THEFTS,1,0,1,185,0,185,80,0,80,18,0,18,284,0,284
ANDHRA PRADESH,2001,EXTORTION,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ANDHRA PRADESH,2001,RIOTS,0,0,0,0,0,0,6,0,6,4,0,4,10,0,10
ANDHRA PRADESH,2001,ARSON,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
ANDHRA PRADESH,2001,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,5,0,5,1,0,1,7,0,7
ANDHRA PRADESH,2001,CHEATING,0,0,0,16,0,16,6,0,6,1,1,2,23,1,24
ANDHRA PRADESH,2001,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,DOWRY DEATHS,0,0,0,23,0,23,13,1,14,0,9,9,36,10,46
ANDHRA PRADESH,2001,MOLESTATION,0,0,0,7,0,7,16,0,16,0,0,0,23,0,23
ANDHRA PRADESH,2001,EVE-TEASING,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
ANDHRA PRADESH,2001,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,13,0,13,9,0,9,3,0,3,25,0,25
ANDHRA PRADESH,2001,OTHER IPC CRIMES,1,0,1,184,4,188,154,4,158,8,1,9,347,9,356
ANDHRA PRADESH,2001,TOTAL IPC,5,0,5,1505,26,1531,1899,39,1938,344,22,366,3753,87,3840
ANDHRA PRADESH,2002,MURDER,0,0,0,897,27,924,1269,38,1307,229,18,247,2395,83,2478
ANDHRA PRADESH,2002,ATTEMPT TO COMMIT MURDER,0,0,0,40,0,40,41,1,42,8,0,8,89,1,90
ANDHRA PRADESH,2002,C.H. NOT AMOUNTING TO MURDER,0,0,0,103,1,104,135,1,136,33,4,37,271,6,277
ANDHRA PRADESH,2002,RAPE,0,0,0,99,0,99,64,0,64,23,0,23,186,0,186
ANDHRA PRADESH,2002,KIDNAPPING AND ABDUCTION,0,0,0,24,0,24,7,2,9,2,1,3,33,3,36
ANDHRA PRADESH,2002,DACOITY,0,0,0,88,0,88,85,1,86,10,0,10,183,1,184
ANDHRA PRADESH,2002,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,7,0,7,7,1,8,2,0,2,16,1,17
ANDHRA PRADESH,2002,ROBBERY,0,0,0,73,0,73,53,0,53,3,0,3,129,0,129
ANDHRA PRADESH,2002,BURGLARY,1,0,1,46,0,46,32,0,32,13,0,13,92,0,92
ANDHRA PRADESH,2002,THEFTS,2,0,2,231,2,233,117,1,118,17,0,17,367,3,370
ANDHRA PRADESH,2002,EXTORTION,0,0,0,24,0,24,9,0,9,0,0,0,33,0,33
ANDHRA PRADESH,2002,RIOTS,0,0,0,4,1,5,0,2,2,0,0,0,4,3,7
ANDHRA PRADESH,2002,ARSON,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
ANDHRA PRADESH,2002,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,3,0,3,1,0,1,4,0,4
ANDHRA PRADESH,2002,CHEATING,0,0,0,11,1,12,17,1,18,12,0,12,40,2,42
ANDHRA PRADESH,2002,COUNTER FEITING,0,0,0,0,0,0,4,0,4,1,0,1,5,0,5
ANDHRA PRADESH,2002,DOWRY DEATHS,0,0,0,19,1,20,19,2,21,6,3,9,44,6,50
ANDHRA PRADESH,2002,MOLESTATION,0,0,0,19,0,19,41,0,41,2,0,2,62,0,62
ANDHRA PRADESH,2002,EVE-TEASING,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ANDHRA PRADESH,2002,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,43,2,45,40,2,42,6,5,11,89,9,98
ANDHRA PRADESH,2002,OTHER IPC CRIMES,0,0,0,130,0,130,126,3,129,14,1,15,270,4,274
ANDHRA PRADESH,2002,TOTAL IPC,3,0,3,1859,35,1894,2072,55,2127,382,32,414,4316,122,4438
ANDHRA PRADESH,2003,MURDER,0,0,0,902,28,930,1272,38,1310,285,19,304,2459,85,2544
ANDHRA PRADESH,2003,ATTEMPT TO COMMIT MURDER,0,0,0,42,1,43,44,2,46,9,0,9,95,3,98
ANDHRA PRADESH,2003,C.H. NOT AMOUNTING TO MURDER,0,0,0,105,0,105,144,1,145,34,5,39,283,6,289
ANDHRA PRADESH,2003,RAPE,0,0,0,82,0,82,65,0,65,44,0,44,191,0,191
ANDHRA PRADESH,2003,KIDNAPPING AND ABDUCTION,0,0,0,26,1,27,8,0,8,3,0,3,37,1,38
ANDHRA PRADESH,2003,DACOITY,0,0,0,75,0,75,102,0,102,13,0,13,190,0,190
ANDHRA PRADESH,2003,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,9,0,9,18,0,18,2,0,2,29,0,29
ANDHRA PRADESH,2003,ROBBERY,0,0,0,78,0,78,57,0,57,26,0,26,161,0,161
ANDHRA PRADESH,2003,BURGLARY,0,0,0,48,0,48,34,0,34,25,0,25,107,0,107
ANDHRA PRADESH,2003,THEFTS,0,0,0,222,12,234,120,3,123,16,0,16,358,15,373
ANDHRA PRADESH,2003,EXTORTION,0,0,0,23,0,23,18,0,18,2,0,2,43,0,43
ANDHRA PRADESH,2003,RIOTS,0,0,0,14,2,16,2,2,4,0,0,0,16,4,20
ANDHRA PRADESH,2003,ARSON,0,0,0,0,0,0,3,0,3,1,0,1,4,0,4
ANDHRA PRADESH,2003,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,2,0,2,2,1,3,4,1,5
ANDHRA PRADESH,2003,CHEATING,0,0,0,12,1,13,28,2,30,9,2,11,49,5,54
ANDHRA PRADESH,2003,COUNTER FEITING,0,0,0,0,0,0,5,0,5,2,0,2,7,0,7
ANDHRA PRADESH,2003,DOWRY DEATHS,0,0,0,21,2,23,21,1,22,5,4,9,47,7,54
ANDHRA PRADESH,2003,MOLESTATION,0,0,0,20,0,20,18,2,20,5,0,5,43,2,45
ANDHRA PRADESH,2003,EVE-TEASING,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
ANDHRA PRADESH,2003,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,24,3,27,46,2,48,7,8,15,77,13,90
ANDHRA PRADESH,2003,OTHER IPC CRIMES,0,0,0,93,3,96,129,1,130,36,2,38,258,6,264
ANDHRA PRADESH,2003,TOTAL IPC,0,0,0,1798,53,1851,2136,54,2190,526,41,567,4460,148,4608
ANDHRA PRADESH,2004,MURDER,0,0,0,953,25,978,1453,64,1517,181,30,211,2587,119,2706
ANDHRA PRADESH,2004,ATTEMPT TO COMMIT MURDER,0,0,0,43,0,43,73,0,73,26,0,26,142,0,142
ANDHRA PRADESH,2004,C.H. NOT AMOUNTING TO MURDER,0,0,0,33,0,33,74,3,77,24,0,24,131,3,134
ANDHRA PRADESH,2004,RAPE,0,0,0,89,1,90,89,0,89,21,0,21,199,1,200
ANDHRA PRADESH,2004,KIDNAPPING AND ABDUCTION,0,0,0,21,2,23,21,4,25,1,0,1,43,6,49
ANDHRA PRADESH,2004,DACOITY,0,0,0,75,0,75,71,0,71,16,0,16,162,0,162
ANDHRA PRADESH,2004,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,9,0,9,3,0,3,1,0,1,13,0,13
ANDHRA PRADESH,2004,ROBBERY,0,0,0,33,0,33,38,0,38,12,0,12,83,0,83
ANDHRA PRADESH,2004,BURGLARY,0,0,0,32,0,32,14,0,14,4,0,4,50,0,50
ANDHRA PRADESH,2004,THEFTS,0,0,0,143,5,148,119,2,121,25,0,25,287,7,294
ANDHRA PRADESH,2004,EXTORTION,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
ANDHRA PRADESH,2004,RIOTS,0,0,0,7,0,7,3,0,3,0,1,1,10,1,11
ANDHRA PRADESH,2004,ARSON,0,0,0,3,0,3,1,0,1,1,0,1,5,0,5
ANDHRA PRADESH,2004,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
ANDHRA PRADESH,2004,CHEATING,0,0,0,8,0,8,20,4,24,4,0,4,32,4,36
ANDHRA PRADESH,2004,COUNTER FEITING,0,0,0,4,0,4,3,1,4,0,0,0,7,1,8
ANDHRA PRADESH,2004,DOWRY DEATHS,0,0,0,23,4,27,42,1,43,6,8,14,71,13,84
ANDHRA PRADESH,2004,MOLESTATION,0,0,0,33,0,33,46,0,46,5,0,5,84,0,84
ANDHRA PRADESH,2004,EVE-TEASING,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
ANDHRA PRADESH,2004,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,36,0,36,37,0,37,7,0,7,80,0,80
ANDHRA PRADESH,2004,OTHER IPC CRIMES,0,0,0,55,1,56,60,7,67,14,1,15,129,9,138
ANDHRA PRADESH,2004,TOTAL IPC,0,0,0,1603,38,1641,2171,86,2257,348,40,388,4122,164,4286
ANDHRA PRADESH,2005,MURDER,0,0,0,817,8,825,1796,66,1862,252,18,270,2865,92,2957
ANDHRA PRADESH,2005,ATTEMPT TO COMMIT MURDER,0,0,0,61,0,61,114,3,117,22,0,22,197,3,200
ANDHRA PRADESH,2005,C.H. NOT AMOUNTING TO MURDER,0,0,0,30,0,30,58,0,58,9,0,9,97,0,97
ANDHRA PRADESH,2005,RAPE,0,0,0,71,1,72,82,4,86,7,0,7,160,5,165
ANDHRA PRADESH,2005,KIDNAPPING AND ABDUCTION,0,0,0,16,0,16,18,1,19,1,0,1,35,1,36
ANDHRA PRADESH,2005,DACOITY,0,0,0,53,0,53,63,0,63,12,0,12,128,0,128
ANDHRA PRADESH,2005,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,4,0,4,4,0,4,0,0,0,8,0,8
ANDHRA PRADESH,2005,ROBBERY,0,0,0,59,0,59,41,0,41,4,0,4,104,0,104
ANDHRA PRADESH,2005,BURGLARY,2,0,2,38,0,38,16,0,16,2,0,2,58,0,58
ANDHRA PRADESH,2005,THEFTS,0,0,0,223,10,233,126,5,131,10,0,10,359,15,374
ANDHRA PRADESH,2005,EXTORTION,0,0,0,3,0,3,2,0,2,0,0,0,5,0,5
ANDHRA PRADESH,2005,RIOTS,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ANDHRA PRADESH,2005,ARSON,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
ANDHRA PRADESH,2005,CRIMINAL BREACH OF TRUST,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
ANDHRA PRADESH,2005,CHEATING,0,0,0,6,0,6,16,3,19,3,0,3,25,3,28
ANDHRA PRADESH,2005,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2005,DOWRY DEATHS,0,0,0,19,2,21,35,3,38,9,10,19,63,15,78
ANDHRA PRADESH,2005,MOLESTATION,0,0,0,26,0,26,39,24,63,6,2,8,71,26,97
ANDHRA PRADESH,2005,EVE-TEASING,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ANDHRA PRADESH,2005,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,27,0,27,50,0,50,7,1,8,84,1,85
ANDHRA PRADESH,2005,OTHER IPC CRIMES,0,0,0,85,1,86,77,5,82,11,1,12,173,7,180
ANDHRA PRADESH,2005,TOTAL IPC,2,0,2,1540,22,1562,2541,114,2655,355,32,387,4438,168,4606
ANDHRA PRADESH,2006,MURDER,0,0,0,809,39,848,1875,36,1911,333,12,345,3017,87,3104
ANDHRA PRADESH,2006,ATTEMPT TO COMMIT MURDER,0,0,0,31,8,39,52,0,52,13,0,13,96,8,104
ANDHRA PRADESH,2006,C.H. NOT AMOUNTING TO MURDER,0,0,0,34,0,34,92,4,96,11,0,11,137,4,141
ANDHRA PRADESH,2006,RAPE,0,0,0,55,0,55,80,0,80,25,1,26,160,1,161
ANDHRA PRADESH,2006,KIDNAPPING AND ABDUCTION,0,0,0,17,3,20,24,2,26,0,0,0,41,5,46
ANDHRA PRADESH,2006,DACOITY,0,0,0,47,1,48,56,1,57,7,1,8,110,3,113
ANDHRA PRADESH,2006,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,4,0,4,4,2,6,0,0,0,8,2,10
ANDHRA PRADESH,2006,ROBBERY,0,0,0,29,0,29,27,0,27,5,0,5,61,0,61
ANDHRA PRADESH,2006,BURGLARY,0,0,0,38,0,38,24,0,24,0,0,0,62,0,62
ANDHRA PRADESH,2006,THEFTS,0,0,0,207,2,209,143,4,147,12,1,13,362,7,369
ANDHRA PRADESH,2006,EXTORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,RIOTS,0,0,0,1,0,1,5,0,5,1,0,1,7,0,7
ANDHRA PRADESH,2006,ARSON,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
ANDHRA PRADESH,2006,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ANDHRA PRADESH,2006,CHEATING,0,0,0,5,0,5,11,2,13,7,0,7,23,2,25
ANDHRA PRADESH,2006,COUNTER FEITING,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6
ANDHRA PRADESH,2006,DOWRY DEATHS,0,0,0,28,3,31,55,13,68,13,8,21,96,24,120
ANDHRA PRADESH,2006,MOLESTATION,0,0,0,36,0,36,41,0,41,2,0,2,79,0,79
ANDHRA PRADESH,2006,EVE-TEASING,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ANDHRA PRADESH,2006,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,43,0,43,83,29,112,3,7,10,129,36,165
ANDHRA PRADESH,2006,OTHER IPC CRIMES,0,0,0,88,4,92,145,1,146,23,0,23,256,5,261
ANDHRA PRADESH,2006,TOTAL IPC,0,0,0,1475,60,1535,2725,94,2819,455,30,485,4655,184,4839
ANDHRA PRADESH,2007,MURDER,0,0,0,1046,41,1087,1715,81,1796,356,30,386,3117,152,3269
ANDHRA PRADESH,2007,ATTEMPT TO COMMIT MURDER,0,0,0,48,2,50,69,5,74,13,2,15,130,9,139
ANDHRA PRADESH,2007,C.H. NOT AMOUNTING TO MURDER,0,0,0,51,1,52,92,2,94,19,1,20,162,4,166
ANDHRA PRADESH,2007,RAPE,0,0,0,96,1,97,93,0,93,27,0,27,216,1,217
ANDHRA PRADESH,2007,KIDNAPPING AND ABDUCTION,0,0,0,19,0,19,26,0,26,0,7,7,45,7,52
ANDHRA PRADESH,2007,DACOITY,0,0,0,67,0,67,59,2,61,10,1,11,136,3,139
ANDHRA PRADESH,2007,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,1,1,2,5,1,6,0,2,2,6,4,10
ANDHRA PRADESH,2007,ROBBERY,0,0,0,43,0,43,35,4,39,7,0,7,85,4,89
