States/UTs,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,9275,5220,10465,6425,13410,6014,4903,3078
Arunachal Pradesh,103,104,57,88,93,61,92,59
Assam,1095,NA,NA,NA,2582,1968,2221,2665
Bihar,4345,2749,2727,2660,2702,2087,2634,2503
Chhattisgarh,3266,3101,2977,2888,2926,4152,2626,1879
Goa,803,945,808,616,496,656,736,667
Gujarat,9339,8184,6396,4864,5974,6865,6980,4237
Haryana,4065,3708,3683,3365,3510,3620,3597,2461
Himachal Pradesh,724,665,428,276,450,451,337,0
Jammu & Kashmir,1600,1464,1036,1557,3587,3118,3074,817
Jharkhand,2202,529,1210,1128,1053,587,1441,286
Karnataka,11056,10958,11516,11167,10764,12289,16321,6569
Kerala,5870,5833,5434,5580,5303,5465,5888,5937
Madhya Pradesh,15953,14270,12541,15630,13230,13339,13362,14967
Maharashtra,22936,4120,4193,4117,12269,11847,22911,5279
Manipur,157,34,69,147,125,142,121,90
Meghalaya,100,257,273,210,207,256,209,235
Mizoram,47,39,32,27,17,49,31,19
Nagaland,18,5,8,11,24,NA,37,0
Odisha,1998,1854,1783,1881,1814,1912,2503,1587
Punjab,1466,1346,1862,1378,1337,1317,823,902
Rajasthan,8904,8731,6883,5534,5380,8629,8005,5501
Sikkim,164,50,103,6,53,39,70,56
Tamil Nadu,10160,11684,11481,8424,8690,9089,10151,7782
Telangana,NA,NA,NA,NA,NA,7278,5223,9177
Tripura,98,397,122,290,297,260,237,136
Uttarakhand,258,420,323,318,223,569,601,416
Uttar Pradesh,7669,7494,8223,8520,9208,10876,7086,6406
West Bengal,5167,408,967,1494,823,4807,4827,5561
Andaman & Nicobar Islands,38,58,5,18,26,22,72,22
Chandigarh,0,46,5,112,79,NA,NA,NA
Dadra & Nagar Haveli,32,29,40,40,34,18,15,13
Daman & Diu,18,16,7,11,1,6,0,10
Delhi,0,NA,NA,NA,NA,NA,1124,413
Lakshadweep,0,0,0,NA,NA,0,1,0
Puducherry,160,22,63,154,127,220,353,206
Total,129086,94740,95720,88936,106814,118008,128612,89936
