State/ Uts,Crime Head,Year,Foreign National /Group,Disgrunted Employee /Employee,Students,Business Competitor,Neighbours /Friends & Relatives,Others,Total
Andhra Pradesh,Cyber Crimes By Suspects,2013,19,12,196,15,75,334,651
Arunachal Pradesh,Cyber Crimes By Suspects,2013,0,0,0,0,0,10,10
Assam,Cyber Crimes By Suspects,2013,0,0,0,0,0,154,154
Bihar,Cyber Crimes By Suspects,2013,1,0,0,0,0,138,139
Chhattisgarh,Cyber Crimes By Suspects,2013,0,0,0,0,0,101,101
Goa,Cyber Crimes By Suspects,2013,0,2,1,0,2,53,58
Gujarat,Cyber Crimes By Suspects,2013,3,3,3,1,1,66,77
Haryana,Cyber Crimes By Suspects,2013,0,6,0,1,40,276,323
Himachal Pradesh,Cyber Crimes By Suspects,2013,0,0,6,0,14,8,28
Jammu and Kashmir,Cyber Crimes By Suspects,2013,0,0,3,0,0,43,46
Jharkhand,Cyber Crimes By Suspects,2013,0,0,2,0,0,24,26
Karnataka,Cyber Crimes By Suspects,2013,8,9,5,0,23,488,533
Kerala,Cyber Crimes By Suspects,2013,3,8,31,25,105,211,383
Madhya Pradesh,Cyber Crimes By Suspects,2013,0,8,0,0,4,330,342
Maharashtra,Cyber Crimes By Suspects,2013,26,36,11,27,174,633,907
Manipur,Cyber Crimes By Suspects,2013,0,0,0,0,0,1,1
Meghalaya,Cyber Crimes By Suspects,2013,0,0,0,0,0,17,17
Mizoram,Cyber Crimes By Suspects,2013,0,0,0,0,0,0,0
Nagaland,Cyber Crimes By Suspects,2013,0,0,0,0,0,0,0
Orissa,Cyber Crimes By Suspects,2013,1,0,23,0,4,76,104
Punjab,Cyber Crimes By Suspects,2013,0,0,7,1,16,132,156
Rajasthan,Cyber Crimes By Suspects,2013,1,4,8,1,5,278,297
Sikkim,Cyber Crimes By Suspects,2013,0,0,0,0,0,0,0
Tamil Nadu,Cyber Crimes By Suspects,2013,5,2,3,5,8,67,90
Tripura,Cyber Crimes By Suspects,2013,2,0,2,0,5,5,14
Uttar Pradesh,Cyber Crimes By Suspects,2013,0,10,40,11,214,407,682
Uttarakhand,Cyber Crimes By Suspects,2013,0,0,0,0,0,27,27
West Bengal,Cyber Crimes By Suspects,2013,8,17,56,48,36,177,342
Andaman and Nicobar,Cyber Crimes By Suspects,2013,0,0,0,0,0,18,18
Chandigarh,Cyber Crimes By Suspects,2013,0,0,0,4,1,6,11
Dadra and Nagar Haveli,Cyber Crimes By Suspects,2013,0,0,0,0,0,0,0
Daman and Diu,Cyber Crimes By Suspects,2013,0,0,0,0,0,1,1
Delhi,Cyber Crimes By Suspects,2013,2,7,23,6,20,92,150
Lakshadweep,Cyber Crimes By Suspects,2013,0,0,0,0,0,0,0
Puducherry,Cyber Crimes By Suspects,2013,0,1,0,0,2,2,5
