State/UTs,All Schools 2010-11,All Schools 2011-12,All Schools 2012-13,Primary Schools 2011-12,Primary Schools 2012-13,Upper Primary Schools/ Sections 2011-12,Upper Primary Schools/ Sections 2012-13,All Schools 2012-13 (Functional Computers)
A & N Islands,60.84,59.35,52.77,38.65,31.07,88.70,88.30,81.09
Andhra Pradesh,25.58,27.05,28.59,12.26,12.38,54.96,57.59,67.09
Arunachal Pradesh,15.58,18.58,19.67,3.06,3.13,54.80,54.78,68.78
Assam,5.12,6.50,7.22,0.85,1.00,23.28,25.38,70.42
Bihar,1.21,1.52,1.72,0.59,0.50,2.81,3.32,48.13
Chandigarh,93.48,94.65,96.28,57.14,64.29,97.69,98.85,94.48
Chhattisgarh,6.04,7.22,8.22,2.90,2.84,16.09,19.01,63.87
Dadra & Nagar Haveli,11.78,27.72,32.70,3.47,7.18,76.24,67.16,73.79
Daman & Diu,55.45,54.87,52.50,18.03,19.64,98.08,88.14,NA
Delhi,83.17,93.42,77.88,91.22,77.26,95.70,78.51,90.21
Goa,31.92,36.78,36.59,11.53,10.57,90.29,93.32,79.81
Gujarat,45.37,60.01,71.52,18.53,23.01,75.45,89.20,72.97
Haryana,32.92,36.85,41.58,6.89,7.50,65.10,71.70,74.75
Himachal Pradesh,16.55,18.74,21.70,4.31,3.79,44.97,53.84,70.93
Jammu & Kashmir,14.69,14.49,15.03,3.17,3.34,26.90,27.63,71.83
Jharkhand,7.15,8.06,8.29,3.40,3.27,15.16,15.87,72.05
Karnataka,24.37,33.16,28.35,8.86,9.28,47.53,43.23,81.11
Kerala,93.01,87.72,90.29,84.16,85.26,94.31,95.76,80.15
Lakshadweep,95.65,97.83,97.73,95.00,94.44,100.00,100.00,90.70
Madhya Pradesh,10.12,10.96,12.35,3.09,3.17,25.76,28.66,65.33
Maharashtra,40.80,44.51,47.43,17.07,24.93,81.70,72.45,73.35
Manipur,18.18,20.85,22.15,1.35,1.70,52.45,51.93,66.34
Meghalaya,7.10,7.46,7.59,2.89,2.82,18.65,19.36,64.79
Mizoram,23.04,28.48,27.56,12.00,11.04,47.14,45.27,78.49
Nagaland,33.12,29.41,31.05,5.70,4.53,60.45,62.95,79.00
Odisha,8.47,8.95,9.24,3.74,3.97,15.56,15.72,39.71
Puducherry,90.69,94.63,97.74,96.53,98.58,93.32,97.19,95.38
Punjab,47.12,47.99,50.31,12.04,10.88,86.98,92.01,90.90
Rajasthan,21.73,18.03,22.51,3.47,3.88,30.18,38.08,59.58
Sikkim,40.97,45.91,50.27,21.62,26.95,79.54,82.50,76.05
Tamil Nadu,47.43,49.60,53.13,27.22,34.89,86.31,83.19,83.46
Tripura,11.65,11.59,12.71,1.38,3.35,22.42,23.44,73.80
Uttar Pradesh,5.45,7.49,10.19,4.37,5.36,13.45,18.95,42.42
Uttarakhand,25.14,29.53,31.07,12.87,12.99,65.74,68.96,83.35
West Bengal,8.72,8.84,9.66,2.71,3.36,36.83,37.53,71.76
,,,,,,,,
